,Title,Location,Company,Salary
1187,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1188,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1189,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1190,Analyst-Data Science,"New York, NY",Amex,
1191,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1192,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1193,Data Scientist,"Corning, NY 14831",Corning,
1194,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1195,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1196,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1197,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1198,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1199,newESG Data Scientist,"New York, NY",MSCI Inc,
1200,Data Scientist,"Nanuet, NY+1 location",Alldus,
1201,Data Scientist,"New York, NY 10036",Pluto TV,
1202,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1203,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1204,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1205,Analyst-Data Science,"New York, NY",Amex,
1206,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1207,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1208,Data Scientist,"Corning, NY 14831",Corning,
1209,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1210,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1211,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1212,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1213,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1214,newESG Data Scientist,"New York, NY",MSCI Inc,
1215,Data Scientist,"Nanuet, NY+1 location",Alldus,
1216,Data Scientist,"New York, NY 10036",Pluto TV,
1217,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1218,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1219,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1220,Analyst-Data Science,"New York, NY",Amex,
1221,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1222,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1223,Data Scientist,"Corning, NY 14831",Corning,
1224,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1225,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1226,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1227,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1228,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1229,newESG Data Scientist,"New York, NY",MSCI Inc,
1230,Data Scientist,"Nanuet, NY+1 location",Alldus,
1231,Data Scientist,"New York, NY 10036",Pluto TV,
1232,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1233,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1234,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1235,Analyst-Data Science,"New York, NY",Amex,
1236,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1237,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1238,Data Scientist,"Corning, NY 14831",Corning,
1239,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1240,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1241,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1242,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1243,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1244,newESG Data Scientist,"New York, NY",MSCI Inc,
1245,Data Scientist,"Nanuet, NY+1 location",Alldus,
1246,Data Scientist,"New York, NY 10036",Pluto TV,
1247,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1248,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1249,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1250,Analyst-Data Science,"New York, NY",Amex,
1251,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1252,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1253,Data Scientist,"Corning, NY 14831",Corning,
1254,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1255,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1256,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1257,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1258,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1259,newESG Data Scientist,"New York, NY",MSCI Inc,
1260,Data Scientist,"Nanuet, NY+1 location",Alldus,
1261,Data Scientist,"New York, NY 10036",Pluto TV,
1262,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1263,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1264,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1265,Analyst-Data Science,"New York, NY",Amex,
1266,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1267,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1268,Data Scientist,"Corning, NY 14831",Corning,
1269,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1270,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1271,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1272,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1273,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1274,newESG Data Scientist,"New York, NY",MSCI Inc,
1275,Data Scientist,"Nanuet, NY+1 location",Alldus,
1276,Data Scientist,"New York, NY 10036",Pluto TV,
1277,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1278,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1279,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1280,Analyst-Data Science,"New York, NY",Amex,
1281,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1282,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
