,Title,Location,Company,Salary
448,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
449,Data Scientist (Personalization),"New York, NY",The New York Times,
450,Data Scientist,New York State•Remote,AbleTo,
451,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
452,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
453,Data Scientist - Fraud,"Columbus, NY",Klarna,
454,Data Scientist,"New York, NY",Amex,
455,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
456,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
457,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
458,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
459,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
460,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
461,Data Scientist,"Corning, NY 14831",Corning,
462,newData Scientist,"New York, NY",BNY Mellon,
463,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
464,Data Scientist (Personalization),"New York, NY",The New York Times,
465,Data Scientist,New York State•Remote,AbleTo,
466,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
467,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
468,Data Scientist - Fraud,"Columbus, NY",Klarna,
469,Data Scientist,"New York, NY",Amex,
470,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
471,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
472,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
473,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
474,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
475,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
476,Data Scientist,"Corning, NY 14831",Corning,
477,newData Scientist,"New York, NY",BNY Mellon,
478,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
479,Data Scientist (Personalization),"New York, NY",The New York Times,
480,Data Scientist,New York State•Remote,AbleTo,
481,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
482,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
483,Data Scientist - Fraud,"Columbus, NY",Klarna,
484,Data Scientist,"New York, NY",Amex,
485,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
486,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
487,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
488,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
489,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
490,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
491,Data Scientist,"Corning, NY 14831",Corning,
492,newData Scientist,"New York, NY",BNY Mellon,
493,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
494,Data Scientist (Personalization),"New York, NY",The New York Times,
495,Data Scientist,New York State•Remote,AbleTo,
496,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
497,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
498,Data Scientist - Fraud,"Columbus, NY",Klarna,
499,Data Scientist,"New York, NY",Amex,
500,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
501,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
502,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
503,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
504,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
505,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
506,Data Scientist,"Corning, NY 14831",Corning,
507,newData Scientist,"New York, NY",BNY Mellon,
508,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
509,Data Scientist (Personalization),"New York, NY",The New York Times,
510,Data Scientist,New York State•Remote,AbleTo,
511,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
512,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
513,Data Scientist - Fraud,"Columbus, NY",Klarna,
514,Data Scientist,"New York, NY",Amex,
515,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
516,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
517,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
518,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
519,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
520,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
521,Data Scientist,"Corning, NY 14831",Corning,
522,newData Scientist,"New York, NY",BNY Mellon,
523,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
524,Data Scientist (Personalization),"New York, NY",The New York Times,
525,Data Scientist,New York State•Remote,AbleTo,
526,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
527,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
528,Data Scientist - Fraud,"Columbus, NY",Klarna,
529,Data Scientist,"New York, NY",Amex,
530,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
531,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
532,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
533,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
534,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
535,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
536,Data Scientist,"Corning, NY 14831",Corning,
537,newData Scientist,"New York, NY",BNY Mellon,
538,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
539,Data Scientist (Personalization),"New York, NY",The New York Times,
540,Data Scientist,New York State•Remote,AbleTo,
541,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
542,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
543,Data Scientist - Fraud,"Columbus, NY",Klarna,
544,Data Scientist,"New York, NY",Amex,
545,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
546,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
547,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
548,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
549,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
550,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
551,Data Scientist,"Corning, NY 14831",Corning,
552,newData Scientist,"New York, NY",BNY Mellon,
553,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
554,Data Scientist (Personalization),"New York, NY",The New York Times,
555,Data Scientist,New York State•Remote,AbleTo,
556,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
557,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
558,Data Scientist - Fraud,"Columbus, NY",Klarna,
559,Data Scientist,"New York, NY",Amex,
560,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
561,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
562,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
563,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
564,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
565,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
566,Data Scientist,"Corning, NY 14831",Corning,
567,newData Scientist,"New York, NY",BNY Mellon,
568,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
569,Data Scientist (Personalization),"New York, NY",The New York Times,
570,Data Scientist,New York State•Remote,AbleTo,
571,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
572,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
573,Data Scientist - Fraud,"Columbus, NY",Klarna,
574,Data Scientist,"New York, NY",Amex,
575,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
576,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
577,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
578,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
579,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
580,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
581,Data Scientist,"Corning, NY 14831",Corning,
582,newData Scientist,"New York, NY",BNY Mellon,
